   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 10.18.10.3496
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterDriverVersion: 9.17.10.2843
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.3062
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2875
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2843
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2653
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2639
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2345
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2291
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3517
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3372
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.2932
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2752
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.3517
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2827
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2361
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2342
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2182
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2057
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterDriverVersion: 8.15.10.2900
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1200, AdapterDriverVersion: 9.18.13.4752
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1200, AdapterDriverVersion: 9.18.13.2049
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1183, AdapterDriverVersion: 9.18.13.4752
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3, AdapterDriverVersion: 9.18.13.4144
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3, AdapterDriverVersion: 9.18.13.4052
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3, AdapterDriverVersion: 8.17.12.5896
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a75, AdapterDriverVersion: 8.17.12.5922
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 9.18.13.3165
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 8.17.12.8026
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9900, AdapterDriverVersion: 13.351.1001.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9834, AdapterDriverVersion: 12.102.1.1000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806, AdapterDriverVersion: 8.861.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9802, AdapterDriverVersion: 8.792.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x95c4, AdapterDriverVersion: 8.632.1.2000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x94c9, AdapterDriverVersion: 8.902.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68f9, AdapterDriverVersion: 14.100.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x683f, AdapterDriverVersion: 14.502.1014.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.900.7.1000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.880.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.810.4.3000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterDriverVersion: 8.810.4.1000
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2025
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2281
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.1808
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterDriverVersion: 8.15.10.2555
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterDriverVersion: 8.15.10.2302
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616, AdapterDriverVersion: 10.18.10.4013
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterDriverVersion: 10.18.10.3643
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterDriverVersion: 10.18.10.3417
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterDriverVersion: 10.18.10.3383
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterDriverVersion: 10.18.10.3379
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 9.18.10.3234
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 9.18.10.3186
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 9.18.10.3165
