   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00041b0a, AdapterDriverVersion: 8.15.10.1892
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2202
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2302
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 02731028, AdapterDriverVersion: 8.15.10.1749
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 02091028, AdapterDriverVersion: 8.15.10.1749
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 01071854, AdapterDriverVersion: 8.15.10.1749
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 124d1043, AdapterDriverVersion: 9.17.10.2932
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 05971028, AdapterDriverVersion: 9.17.10.2849
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2828
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3040
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2843
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca2, AdapterSubsysID: 2150174b, AdapterDriverVersion: 9.18.13.3165
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 75921462, AdapterDriverVersion: 8.15.10.2702
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 57568086, AdapterDriverVersion: 8.15.10.2702
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 434e8086, AdapterDriverVersion: 8.15.10.2869
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31031565, AdapterDriverVersion: 8.15.10.2555
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2302
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2119
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2104
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2008
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.2555
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.2119
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22261019, AdapterDriverVersion: 8.15.10.2119
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 110a1565, AdapterDriverVersion: 8.15.10.2302
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 105414a4, AdapterDriverVersion: 8.15.10.2008
