  39 Cisco VPN
  19 DriverVersionMismatch
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 21081043, AdapterDriverVersion: 8.880.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 1863103c, AdapterDriverVersion: 8.882.2.0
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31031565, AdapterDriverVersion: 8.15.10.1808
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2702
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2555
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e321849, AdapterDriverVersion: 8.15.10.2555
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a9d103c, AdapterDriverVersion: 8.15.10.2202
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.2202
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dc2105b, AdapterDriverVersion: 8.15.10.2869
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04001028, AdapterDriverVersion: 8.15.10.2869
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04001028, AdapterDriverVersion: 8.15.10.2302
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterSubsysID: 3048103c, AdapterDriverVersion: 8.15.10.2202
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterSubsysID: 04201028, AdapterDriverVersion: 8.15.10.2869
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 3a0217aa, AdapterDriverVersion: 8.15.10.2302
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 360b103c, AdapterDriverVersion: 8.15.10.2302
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 30db103c, AdapterDriverVersion: 8.15.10.1855
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 3072103c, AdapterDriverVersion: 8.15.10.1855
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 1605103c, AdapterDriverVersion: 8.15.10.2302
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 1484103c, AdapterDriverVersion: 8.15.10.2702
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 04021028, AdapterDriverVersion: 8.15.10.1808
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 02aa1028, AdapterDriverVersion: 8.15.10.1808
