   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2291
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.2932
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2712
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.4101
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.2963
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2430
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2555
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2008
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x100a, AdapterDriverVersion: 9.18.13.4752
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca5, AdapterDriverVersion: 8.17.12.8026
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3, AdapterDriverVersion: 9.18.13.3182
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 9.18.13.3165
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 8.17.12.8562
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterDriverVersion: 8.17.12.5919
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9808, AdapterDriverVersion: 14.100.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9802, AdapterDriverVersion: 8.792.0.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e0, AdapterDriverVersion: 8.712.1.2000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6810, AdapterDriverVersion: 14.501.1003.0
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterDriverVersion: 8.810.4.1000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterDriverVersion: 14.100.0.0
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.1808
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterDriverVersion: 8.15.10.2702
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.1892
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616, AdapterDriverVersion: 10.18.14.4080
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterDriverVersion: 10.18.10.3417
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a1e, AdapterDriverVersion: 10.18.10.3277
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.14.4080
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3383
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3316
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3262
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.14.4080
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.10.3540
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.14.4080
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.10.3308
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.10.3304
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterDriverVersion: 10.18.10.3282
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412, AdapterDriverVersion: 10.18.10.3907
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterDriverVersion: 10.18.10.3277
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.18.10.3071
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.18.10.3006
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2817
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 8.15.10.2653
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3262
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 10.18.10.3304
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 9.18.10.3055
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterDriverVersion: 8.15.10.2509
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0126, AdapterDriverVersion: 8.15.10.2418
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2875
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2857
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2843
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2752
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2696
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2430
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2418
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3040
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.2963
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 8.15.10.2752
